Abel, Clarence, New York Rangers, 1928,  Chicago Blackhawks, 1934, {2}
Abel, Sid, Detroit Red Wings, 1943-50-52, {3}
Harris, Edward, Montreal Canadiens, 1965-66-68-69,  Philadelphia Flyers, 1975, {5}
Harris, Bill, Toronto Maple Leafs, 1962-63-64, {3}
Harriston, James, Toronto Blueshirts, 1914, {1}
Hart, Harold, Victoria Cougars, 1925, {1}
Hartigan, Mark, Anaheim Ducks, 2007,  Detroit Red Wings, 2008, {2}
Hartman, Mike, New York Rangers, 1994, {1}
Harvey, Doug, Montreal Canadiens, 1953-56-57-58-59-60, {6}
Hasek, Dominik, Detroit Red Wings, 2002-08, {2}
Hassard, Bob, Toronto Maple Leafs, 1951, {1}
Hatcher, Derian, Dallas Stars, 1999, {1}
Hay, Bill, Chicago Blackhawks, 1961, {1}
Hay, Jim, Detroit Red Wings, 1955, {1}
Hayes, Chris, Boston Bruins, 1972, {1}
Healy, Glenn, New York Rangers, 1994, {1}
Hefferman, Gerry, Montreal Canadiens, 1944, {1}
Hedican, Bret, Carolina Hurricanes, 2006, {1}
Hejduk, Milan, Colorado Avalanche, 2001, {1}
Heller, Ehrhardt, New York Rangers, 1933–40, {2}
Helman, Harry, Ottawa Senators, 1923, {1}
Helm, Darren, Detroit Red Wings, 2008, {1}
Henderson, Harold, Montreal Victorias, 1895-96-97, {3}
Hendry, Jordan, Chicago Blackhawks, 2010, {1}
Henny, Lorne, New York Islanders, 1980–81, {2}
Hern, Riley, Montreal Wanderers, 1906-07-08-10, {4}
Hextall, Bryan Sr., New York Rangers, 1940, {1}
Hicke, Bill, Montreal Canadiens, 1959–60, {2}
Hicks, Wayne, Chicago Blackhawks, 1961, {1}
Higginbotham, Fred, Winnipeg Victorias, 1896, {1}
Hill, Mel, Boston Bruins, 1939–41,  Toronto Maple Leafs, 1945, {3}
Hill, Sean, Montreal Canadiens, 1993, {1}
Hillier, Randy, Pittsburgh Penguins, 1991, {1}
Hiller, Wilbert, Boston Bruins, 1941,  Montreal Canadiens, 1946, {2}
Hillman, Larry, Detroit Red Wings, 1955,  Toronto Maple Leafs, 1962-63-64-67,  Montreal Canadiens, 1969, {6}
Hillman, Wayne, Chicago Blackhawks, 1961, {1}
Hinote, Dan, Colorado Avalanche, 2001, {1}
Hitchman, Lionel, Ottawa Senators, 1923,  Boston Bruins, 1929, {2}
Hjalmarsson, Niklas, Chicago Blackhawks, 2010-13-15, {3}
Hnidy, Shane, Boston Bruins, 2011, {1}
Hodge, Charlie, Montreal Canadiens, 1956-58-59-60-65-66, {6}
Hodge, Ken Sr., Boston Bruins, 1970–72, {2}
Hodge, Tom, Montreal AAA, 1902–03, {2}
Hodgson, Archie, Montreal AAA, 1893–94, {2}
Hodson, Kevin, Detroit Red Wings, 1997–98, {2}
Hoerner, Charles, Montreal Shamrocks, 1899–1900, {2}
Hogue, Benoit, Dallas Stars, 1999, {1}
Holik, Bobby, New Jersey Devils, 1995–2000, {2}
Hollet, Bill, Boston Bruins, 1939–41, {2}
Holmes, Hap, Toronto Blueshirts, 1914,  Seattle Metropolitans, 1917,  Toronto Arenas, 1918,  Victoria Cougars, 1925, {4}
Holmstrom, Tomas, Detroit Red Wings, 1997-98-2002-08, {4}
Holota, Johnny, Detroit Red Wings, 1943, {1}
Holway, Albert, Montreal Maroons, 1926, {1}
Hooper, Art, Montreal AAA, 1902–03, {2}
Hooper, Tom, Kenora Thistles, 1907,  Montreal Wanderers, 1908, {2}
Horne, George, Montreal Maroons, 1926, {1}
Horner, Charlies, Montreal Shamrocks, 1899–1900, {2}
Horner, Reginald, Toronto Maple Leafs, 1932, {1}
Hornqvist, Patric, Pittsburgh Penguins, 2016, {1}
Horton, Nathan, Boston Bruins, 2011, {1}
Horton, Miles, Toronto Maple Leafs, 1962-63-64-67, {4}
Hossa, Marian, Chicago Blackhawks, 2010–13-15, {3}
Houle, Rejean, Montreal Canadiens, 1971-73-77-78-79, {5}
Howard, Tom, Winnipeg Victorias, 1896, {1}
Howatt, Garry, New York Islanders, 1980–81, {2}
Howe, Gordie, Detroit Red Wings, 1950-52-54-55, {4}
Howe, Syd, Detroit Red Wings, 1936-37-43, {3}
Hrdina, Jiri, Calgary Flames, 1989,  Pittsburgh Penguins, 1991–92, {3}
Hrkac, Tony, Dallas Stars, 1999, {1}
Huddy, Charlie, Edmonton Oilers, 1984-85-87-88-90, {5}
Hudler, Jiri, Detroit Red Wings, 2008, {1}
Hudson, Mike, New York Rangers, 1994, {1}
Huet, Cristobal, Chicago Blackhawks, 2010, {1}
Hughes, Pat, Montreal Canadiens, 1979,  Edmonton Oilers, 1984–85, {3}
Hull, Bobby, Chicago Blackhawks, 1961, {1}
Hull, Brett, Dallas Stars, 1999,  Detroit Red Wings, 2002, {2}
Hutton, Carter, Chicago Blackhawks, 2013, {1}
Hunter, Dave, Edmonton Oilers, 1984-85-87, {3}
Hunter, Mark, Calgary Flames, 1989, {1}
Hunter, Tim, Calgary Flames, 1989, {1}
Huskins, Kent, Anaheim Ducks, 2007, {1}
Hutchinson, Andrew, Carolina Hurricanes, 2006, {1}
Hutton, John, Ottawa Senators, 1903–04, {2}
Hyland, Harry, Montreal Wanderers, 1910, {1}
Irving, Alex, Montreal AAA, 1893–94, {2}
Jackman, Ric, Anaheim Ducks, 2007, {1}
Jackson, Art, Boston Bruins, 1941,  Toronto Maple Leafs, 1945, {2}
Jackson, Don, Edmonton Oilers, 1984–85, {2}
Jackson, Harold, Chicago Blackhawks, 1938,  Detroit Red Wings, 1943, {2}
Jackson, Harvey, Toronto Maple Leafs, 1932, {1}
Jackson, Stan, Toronto Maple Leafs, 1922, {1}
Jagr, Jaromir, Pittsburgh Penguins, 1991–92, {2}
James, George, Montreal AAA, 1894, {1}
Jarvis, Doug, Montreal Canadiens, 1976-77-78-79, {4}
Jennings, Grant, Pittsburgh Penguins, 1991–92, {2}
Jenkins, Roger, Chicago Blackhawks, 1934–38, {2}
Jeffrey, Larry, Toronto Maple Leafs, 1967, {1}
Johnson, Ernie, Montreal Wanderers, 1906-07-08-10, {4}
Johnson, Ivan, New York Rangers, 1928–33, {2}
Johnson, Tom, Montreal Canadiens, 1953-56-57-58-59-60, {6}
Johnson, Earl, Detroit Red Wings, 1954, {1}
Johnson, Virgil, Chicago Blackhawks, 1938, {1}
Johnston, Eddie, Boston Bruins, 1970–72, {2}
Johnstone, Charles, Winnipeg Victorias, 1896-01-02, {3}
Johnstone, Ross, Toronto Maple Leafs, 1945, {1}
Joliat, Aurel, Montreal Canadiens, 1924-30-31, {3}
Jones, Robert, Montreal Victorias, 1895–96, {2}
Jones, Martin, Los Angeles Kings, 2014, {1}
Jonsson, Tomas, New York Islanders, 1982–83, {2}
Juzda, Bill, Toronto Maple Leafs, 1949–51, {2}
Kaberle, Frantisek, Carolina Hurricanes, 2006, {1}
Kaberle, Tomas, Boston Bruins, 2011, {1}
Kane, Patrick, Chicago Blackhawks, 2010-13-15, {3}
Kallur, Anders, New York Islanders, 1980-81-82-83, {4}
Kamensky, Valeri, Colorado Avalanche, 1996, {1}
Kampman, Rudolph, Toronto Maple Leafs, 1942, {1}
Karakas, Mike, Chicago Blackhawks, 1938, {1}
Karpovtsev, Alexander, New York Rangers, 1994, {1}
Keane, Mike, Montreal Canadiens, 1993,  Colorado Avalanche, 1996,  Dallas Stars, 1999, {3}
Keeling, Melville, New York Rangers, 1933, {1}
Keith, Duncan, Chicago Blackhawks, 2010-13-15, {3}
Kelly, Bob, Philadelphia Flyers, 1974–75, {2}
Kelly, Chris, Boston Bruins, 2011, {1}
Kelly, Leonard, Detroit Red Wings, 1950-52-54-55,  Toronto Maple Leafs, 1962-63-64-67, {8}
Kelly, Pete, Detroit Red Wings, 1936–37, {2}
Kelly, Steve, New Jersey Devils, 2000, {1}
Kendall, Bill, Chicago Blackhawks, 1934, {1}
Kennedy, Rod, Montreal Wanderers, 1906–07, {2}
Kennedy, Ted, Toronto Maple Leafs, 1945-47-48-49-51, {5}
Kennedy, Tyler, Pittsburgh Penguins, 2009, {1}
Keon, Dave, Toronto Maple Leafs, 1962-63-64-67, {4}
Kerr, Albert, Ottawa Senators, 1909–10-11, {3}
Kerr, Dave, New York Rangers, 1940, {1}
Kessel, Phil, Pittsburgh Penguins, 2016, {1}
Khabibulin, Nikolai, Tampa Bay Lightning, 2004, {1}
Kilrea, Hector, Ottawa Senators, 1927,  Detroit Red Wings, 1936–37, {3}
Kilrea, Wally, Detroit Red Wings, 1936–37, {2}
Kindrachuk, Orest, Philadelphia Flyers, 1974–75, {2}
King, Dwight, Los Angeles Kings, 2012-14, {2}
Kingan, Alex, Montreal AAA, 1893–94, {2}
Kitchen, Chapman, Montreal Maroons, 1926, {1}
Klein, Lloyd, Boston Bruins, 1929, {1}
Klima, Petr, Edmonton Oilers, 1990, {1}
Klemm, Jon, Colorado Avalanche, 1996–2001, {2}
Knuble, Mike, Detroit Red Wings, 1998, {1}
Klukay, Joseph, Toronto Maple Leafs, 1947-48-49-51, {4}
Kocur, Joey, New York Rangers, 1994,  Detroit Red Wings, 1997–98, {3}
Konstantinov, Vladimir, Detroit Red Wings, 1997–98, {2}
Kopecky, Tomas, Detroit Red Wings, 2008,  Chicago Blackhawks, 2010, {2}
Kopitar, Anze, Los Angeles Kings, 2012-14, {2}
Kordic, John, Montreal Canadiens, 1986, {1}
Kovalev, Alexei, New York Rangers, 1994, {1}
Kozlov, Vyacheslav, Detroit Red Wings, 1997–98, {2}
Krejci, David, Boston Bruins, 2011, {1}
Kronwall, Niklas, Detroit Red Wings, 2008, {1}
Krüger, Marcus, Chicago Blackhawks, 2013–15, {2}
Krupp, Uwe, Colorado Avalanche, 1996,  Detroit Red Wings, 2002, {2}
Krushelnyski, Mike, Edmonton Oilers, 1985-87-88, {3}
Kubina, Pavel, Tampa Bay Lightning, 2004, {1}
Kuhnhackl, Tom, Pittsburgh Penguins, 2016, {1}
Kunitz, Chris, Anaheim Ducks, 2007,  Pittsburgh Penguins, 2009–16, {3}
Kurri, Jari, Edmonton Oilers, 1984-85-87-88-90, {5}
Kurvers, Thomas, Montreal Canadiens, 1986, {1}
Kuznetsov, Maxim, Detroit Red Wings, 2002, {1}
Kypreos, Nick, New York Rangers, 1994, {1}
Lach, Elmer, Montreal Canadiens, 1944-46-53, {3}
Lacombe, Normand, Edmonton Oilers, 1988, {1}
Ladd, Andrew, Carolina Hurricanes, 2006,  Chicago Blackhawks, 2010, {2}
Lafleur, Guy, Montreal Canadiens, 1973-76-77-78-79, {5}
Lake, Fred, Ottawa Senators, 1909-10-11, {3}
Lalonde, Newsy, Montreal Canadiens, 1916, {1}
Lalor, Mike, Montreal Canadiens, 1986, {1}
Lamb, Mark, Edmonton Oilers, 1990, {1}
Lambert, Yvon, Montreal Canadiens, 1976-77-78-79, {4}
Lamoureux, Leo, Montreal Canadiens, 1944–46, {2}
Lane, Gord, New York Islanders, 1980-81-82-83, {4}
Lane, Myles, Boston Bruins, 1929, {1}
Langelle, Pete, Toronto Maple Leafs, 1942, {1}
Langenbrunner, Jamie, Dallas Stars, 1999,  New Jersey Devils, 2003, {2}
Langevin, Dave, New York Islanders, 1980-81-82-83, {4}
Langlois, Albert, Montreal Canadiens, 1958-59-60, {3}
Langway, Rod, Montreal Canadiens, 1979, {1}
Laperriere, Jacques, Montreal Canadiens, 1965-66-68-69-71-73, {6}
Lapointe, Guy, Montreal Canadiens, 1971-73-76-77-78-79, {6}
Lapointe, Martin, Detroit Red Wings, 1997–98, {2}
Larionov, Igor, Detroit Red Wings, 1997-98-2002, {3}
Larmer, Steve, New York Rangers, 1994, {1}
Larochelle, Wildor, Montreal Canadiens, 1930–31, {2}
Larocque, Michel, Montreal Canadiens, 1976-77-78-79, {4}
Larose, Chad, Carolina Hurricanes, 2006, {1}
Larose, Claude, Montreal Canadiens, 1965-66-68-71-73, {5}
Larouche, Pierre, Montreal Canadiens, 1978–79, {2}
Laviolette, Jack, Montreal Canadiens, 1916, {1}
Leach, Jamie, Pittsburgh Penguins, 1992, {1}
Leach, Reggie, Philadelphia Flyers, 1975, {1}
Lebeau, Stephan, Montreal Canadiens, 1993, {1}
Lebda, Brett, Detroit Red Wings, 2008, {1}
Lecavalier, Vincent, Tampa Bay Lightning, 2004, {1}
LeClair, John, Montreal Canadiens, 1956–57, {2}
LeClair, John, Montreal Canadiens, 1993, {1}
Leddy, Nick, Chicago Blackhawks, 2013, {1}
Leduc, Albert, Montreal Canadiens, 1930–31, {2}
Leeman, Gary, Montreal Canadiens, 1993, {1}
Leetch, Brian, New York Rangers, 1994, {1}
Lefebvre, Sylvain, Colorado Avalanche, 1996, {1}
Lefley, Chuck, Montreal Canadiens, 1971–73, {2}
Legace, Manny, Detroit Red Wings, 2002, {1}
Lehman, Hugh, Vancouver Millionaires, 1915, {1}
Lehtinen, Jere, Dallas Stars, 1999, {1}
Lemaire, Jacques, Montreal Canadiens, 1968-69-71-73-76-77-78-79, {8}
Lemay, Maurice, Edmonton Oilers, 1987, {1}
Lemieux, Claude, Montreal Canadiens, 1986,  New Jersey Devils, 1995-2000,  Colorado Avalanche, 1996, {4}
Lemieux, Mario, Pittsburgh Penguins, 1991–92, {2}
Leonard, George, Quebec Bulldogs, 1912, {1}
Lepine, Alfred, Montreal Canadiens, 1930–31, {2}
Leschyshyn, Curtis, Colorado Avalanche, 1996, {1}
Lesieur, Art, Montreal Canadiens, 1931, {1}
LeSueur, Percy, Ottawa Senators, 1909–10–11, {3}
Lesuk, Bill, Boston Bruins, 1970, {1}
Leswick, Jack, Chicago Blackhawks, 1934, {1}
Leswick, Tony, Detroit Red Wings, 1952–54–55, {3}
Letang, Kris, Pittsburgh Penguins, 2009–16, {2}
Levinsky, Alex, Toronto Maple Leafs, 1932,  Chicago Blackhawks, 1938, {2}
Lewicki, Dannny, Toronto Maple Leafs, 1951, {1}
Lewis, Gordon, Montreal Victorias, 1896-97-98-99, {4}
Lewis, Trevor, Los Angeles Kings, 2012-14, {2}
Lewis, Herbie, Detroit Red Wings, 1936–37, {2}
Lidstrom, Nicklas, Detroit Red Wings, 1997–98–2002–08, {4}
Lidster, Doug, New York Rangers, 1994,  Dallas Stars, 1999, {2}
Liffiton, Charles, Montreal AAA, 1902–03, {2}
Liffiton, Ernie, Montreal Wanderers, 1908, {1}
Lilja, Andreas, Detroit Red Wings, 2008, {1}
Lindsay, Ted, Detroit Red Wings, 1950–52–54–55, {4}
Lindstrom, Willy, Edmonton Oilers, 1984–85, {2}
Linseman, Ken, Edmonton Oilers, 1984, {1}
Liscombe, Carl, Detroit Red Wings, 1943, {1}
Litzenberger, Ed, Chicago Blackhawks, 1961,  Toronto Maple Leafs, 1962–63–64, {4}
Loktionov, Andrei, Los Angeles Kings, 2012, {1}
Loney, Troy, Pittsburgh Penguins, 1991–92, {2}
Lonsberry, Ross, Philadelphia Flyers, 1974–75, {2}
Loob, Hakan, Calgary Flames, 1989, {1}
Lorentz, Jim, Boston Bruins, 1970, {1}
Lorimer, Bob, New York Islanders, 1980–81, {2}
Loughlin, Clem, Victoria Cougars, 1925, {1}
Lovejoy, Ben, Pittsburgh Penguins, 2016, {1}
Lowe, George, Montreal AAA, 1893, {1}
Lowe, Kevin, Edmonton Oilers, 1984–85–87–88–90,  New York Rangers, 1994, {6}
Lucic, Milan, Boston Bruins, 2011, {1}
Ludwig, Craig, Montreal Canadiens, 1986,  Dallas Stars, 1999, {2}
Lukowich, Brad, Dallas Stars, 1999,  Tampa Bay Lightning, 2004, {2}
Lumley, David, Edmonton Oilers, 1984–85, {2}
Lumley, Harry, Detroit Red Wings, 1950, {1}
Lupien, Gilles, Montreal Canadiens, 1978–79, {2}
Lynn, Vic, Toronto Maple Leafs, 1947–48–49, {3}
Maatta, Olli, Pittsburgh Penguins, 2016, {1}
MacAdam, Al, Philadelphia Flyers, 1974, {1}
MacDonald, Kilby, New York Rangers, 1940, {1}
MacInnis, Al, Calgary Flames, 1989, {1}
MacKay, Calum, Montreal Canadiens, 1953, {1}
MacKay, Duncan, Vancouver Millionaires, 1915,  Boston Bruins, 1929, {2}
MacKell, Fleming, Toronto Maple Leafs, 1949–51, {2}
MacKell, Jack, Ottawa Senators, 1920–21, {2}
MacKenzie, Bill, Montreal Maroons, 1935, Chicago Blackhawks, 1938, {2}
Mackie, Howie, Detroit Red Wings, 1937, {1}
MacLean, John, New Jersey Devils, 1995, {1}
MacLeish, Rick, Philadelphia Flyers, 1974–75, {2}
MacLellan, Brian, Calgary Flames, 1989, {1}
MacMillan, John, Toronto Maple Leafs, 1962–63, {2}
Macoun, Jamie, Calgary Flames, 1989,  Detroit Red Wings, 1998, {2}
MacPherson, James, Montreal Canadiens, 1953, {1}
MacTavish, Craig, Edmonton Oilers, 1987-88-90,  New York Rangers, 1994, {4}
Madden, John, New Jersey Devils, 2000–03,  Chicago Blackhawks, 2010, {3}
Mahovlich, Frank, Toronto Maple Leafs, 1962-63-64-67,  Montreal Canadiens, 1971–73, {6}
Mahovlich, Peter, Montreal Canadiens, 1971-73-76-77, {4}
Majeau, Fern, Montreal Canadiens, 1944, {1}
Maki, Ronald, Chicago Blackhawks, 1961, {1}
Malakhov, Vladimir, New Jersey Devils, 2000, {1}
Maley, David, Montreal Canadiens, 1986, {1}
Mallen, Ken, Ottawa Senators, 1910,  Vancouver Millionaires, 1915, {2}
Malkin, Evgeni, Pittsburgh Penguins, 2009–16, {2}
Malone, Jeff, Quebec Bulldogs, 1913, {1}
Malone, Joe, Quebec Bulldogs, 1912–13, {2}
Maltby, Kirk, Detroit Red Wings, 1997-98-2002-08, {4}
Mantha, Georges, Montreal Canadiens, 1930–31, {2}
Mantha, Sylvio, Montreal Canadiens, 1924-30-31, {3}
Marcetta, Milan, Toronto Maple Leafs, 1967, {1}
March, Harold, Chicago Blackhawks, 1934–38, {2}
Marchand, Brad, Boston Bruins, 2011, {1}
Marchant, Todd, Anaheim Ducks, 2007, {1}
Marcotte, Don, Boston Bruins, 1970–72, {2}
Marini, Hector, New York Islanders, 1981–82, {2}
Marker, Gus, Montreal Maroons, 1935, {1}
Marks, Jack, Quebec Bulldogs, 1912–13,  Toronto Arenas, 1918, {3}
Marshall, Grant, Dallas Stars, 1999,  New Jersey Devils, 2003, {2}
Marshall, Jack, Winnipeg Victorias, 1901,  Montreal AAA, 1902–03,  Montreal Wanderers, 1907–10,  Toronto Blueshirts, 1914, {6}
Marshall, Don, Montreal Canadiens, 1956-57-58-59-60, {5}
Martin, Clare, Detroit Red Wings, 1950, {1}
Martinez, Alec, Los Angeles Kings, 2012-14, {2}
Masnick, Paul, Montreal Canadiens, 1953, {1}
Matteau, Stephane, New York Rangers, 1994, {1}
Matvichuk, Richard, Dallas Stars, 1999, {1}
Matz, Johnny, Vancouver Millionaires, 1915, {1}
May, Brad, Anaheim Ducks, 2007, {1}
Mayers, Jamal, Chicago Blackhawks, 2013, {1}
Mazur, Eddie, Montreal Canadiens, 1953, {1}
McAlpine, Chris, New Jersey Devils, 1995, {1}
McCaffrey, Bret, Montreal Canadiens, 1930–31, {2}
McCarty, Darren, Detroit Red Wings, 1997-98-2002-08, {4}
McClelland, Kevin, Edmonton Oilers, 1984-85-87-88, {4}
McCool, Frank, Toronto Maple Leafs, 1945, {1}
McCormack, John, Toronto Maple Leafs, 1951,  Montreal Canadiens, 1953, {2}
McCreedy, John, Toronto Maple Leafs, 1942–45, {2}
McCrimmon, Brad, Calgary Flames, 1989, {1}
McDonald, Unknown, Ottawa Senators, 1905, {1}
McDonald, Alvin, Montreal Canadiens, 1958-59-60,  Chicago Blackhawks, 1961, {4}
McDonald, Andy, Anaheim Ducks, 2007, {1}
McDonald, Jack, Quebec Bulldogs, 1912, {1}
McDonald, Lanny, Calgary Flames, 1989, {1}
McDonald, Wilfred, Detroit Red Wings, 1936-37,  Toronto Maple Leafs, 1942, {3}
McDougall, Hartland, Montreal Victorias, 1895-96-97-98, {4}
McDougall, Bob, Montreal Victorias, 1895-96-97-98-99, {5}
McEachern, Shawn, Pittsburgh Penguins, 1992, {1}
McEwen, Mike, New York Islanders, 1981-82-83, {3}
McFadden, Jim, Detroit Red Wings, 1950, {1}
McFadyen, Don, Chicago Blackhawks, 1934, {1}
McLea, Ernest, Montreal Victorias, 1896-97-98-99, {4}
McGee, Frank, Ottawa Senators, 1903-04-05-06, {4}
McGee, Jim, Ottawa Senators, 1904, {1}
McGiffen, Roy, Toronto Blueshirts, 1914, {1}
McGimsie, Billy, Kenora Thistles, 1907, {1}
McKay, Doug, Detroit Red Wings, 1950, {1}
McKay, Randy, New Jersey Devils, 1995–2000, {2}
McKendry, Alex, New York Islanders, 1980, {1}
McKenna, Joe, Montreal Shamrocks, 1899–1900, {2}
McKenney, Don, Toronto Maple Leafs, 1964, {1}
McKenzie, Jim, New Jersey Devils, 2003, {1}
McKenzie, John, Boston Bruins, 1970–72, {2}
McLean, Jack, Toronto Maple Leafs, 1945, {1}
McLellan, David, Montreal Victorias, 1897, {1}
McMahon, Mike Sr., Montreal Canadiens, 1944, {1}
McManus, Sammy, Montreal Maroons, 1935, {1}
McNab, Max, Detroit Red Wings, 1950, {1}
McNamara, George, Toronto Maple Leafs, 1914, {1}
McNamara, Harold, Montreal Canadiens, 1916, {1}
McNamara, Howard, Montreal Canadiens, 1916, {1}
McNeil, Gerry, Montreal Canadiens, 1953-57-58, {3}
McQuaid, Adam, Boston Bruins, 2011, {1}
McQuestion, Harry, Detroit Red Wings, 1950, {1}
McPhee, Mike, Montreal Canadiens, 1986, {1}
McReavy, Pat, Boston Bruins, 1939–41, {2}
McRobie, Fred, Montreal Victorias, 1899, {1}
McSorley, Marty, Edmonton Oilers, 1987–88, {2}
Meech, Derek, Detroit Red Wings, 2008, {1}
Meeker, Howie, Toronto Maple Leafs, 1947-48-49-51, {4}
Meeking, Harry, Toronto Arenas, 1918,  Victoria Cougars, 1925, {2}
Meger, Paul, Montreal Canadiens, 1953, {1}
Melanson, Roland, New York Islanders, 1981-82-83, {3}
Melnyk, Larry, Edmonton Oilers, 1984–85, {2}
Menard, Henri, Montreal Wanderers, 1906, {1}
Merrill, Horace, Ottawa Senators, 1920, {1}
Merrick, Wayne, New York Islanders, 1980-81-82-83, {4}
Merritt, George, Winnipeg Victorias, 1896, {1}
Messier, Eric, Colorado Avalanche, 2001, {1}
Messier, Mark, Edmonton Oilers, 1984-85-87-88-90,  New York Rangers, 1994, {6}
Messy, Harry, Montreal Victorias, 1897, {1}
Metz, Don, Toronto Maple Leafs, 1942–45, 1947-48-49, {5}
Metz, Nick, Toronto Maple Leafs, 1942-45-47-48, {4}
Michayluk, Dave, Pittsburgh Penguins, 1992, {1}
Mikita, Stan, Chicago Blackhawks, 1961, {1}
Miller, Andrew, Anaheim Ducks, 2007, {1}
Miller, Earl, Toronto Maple Leafs, 1932, {1}
Miller, Joe, New York Rangers, 1928, {1}
Miller, Bill, Montreal Maroons, 1935, {1}
Mironov, Dmitri, Detroit Red Wings, 1998, {1}
Mitchell, Ivan, Toronto St. Pats, 1922, {1}
Mitchell, Willie, Los Angeles Kings, 2012-14, {2}
Modano, Mike, Dallas Stars, 1999, {1}
Modin, Fredrik, Tampa Bay Lightning, 2004, {1}
Moen, Travis, Anaheim Ducks, 2007, {1}
Mogilny, Alexander, New Jersey Devils, 2000, {1}
Molson, Percy, Montreal Victorias, 1897, {1}
Momesso, Sergio, Montreal Canadiens, 1986, {1}
Mondou, Armand, Montreal Canadiens, 1930–31, {2}
Mondou, Pierre, Montreal Canadiens, 1977-78-79, {3}
Moog, Andy, Edmonton Oilers, 1984-85-87, {3}
Moore, Alfie, Chicago Blackhawks, 1938, {1}
Moore, Arthur, Ottawa Senators, 1903-04-05-06, {4}
Moore, Dickie, Montreal Canadiens, 1953-56-57-58-59-60, {6}
Moran, Patrick, Quebec Bulldogs, 1912–13, {2}
Morenz, Howie, Montreal Canadiens, 1924-30-31, {3}
Morris, Bernie, Seattle Metropolitans, 1917, {1}
Morris, Elwyn, Toronto Maple Leafs, 1945, {1}
Morrow, Ken, New York Islanders, 1980-81-82-83, {4}
Mortson, Gus, Toronto Maple Leafs, 1947-48-49-51, {4}
Mosdell, Ken, Montreal Canadiens, 1946-53-56-59, {4}
Motter, Alex, Detroit Red Wings, 1943, {1}
Motzko, Joe, Anaheim Ducks, 2007, {1}
Mowers, Johnny, Detroit Red Wings, 1943, {1}
Muir, Bryan, Colorado Avalanche, 2001, {1}
Mullen, Joe, Calgary Flames, 1989,  Pittsburgh Penguins, 1991–92, {3}
Muller, Kirk, Montreal Canadiens, 1993, {1}
Mummery, Harry, Quebec Bulldogs, 1913,  Toronto Arenas, 1918, {2}
Muni, Craig, Edmonton Oilers, 1987-88-90, {3}
Munro, Dunc, Montreal Maroons, 1926, {1}
Murdoch, Bob, Montreal Canadiens, 1971–73, {2}
Murdoch, Murray, New York Rangers, 1928–33, {2}
Murphy, Joe, Edmonton Oilers, 1990, {1}
Murphy, Larry, Pittsburgh Penguins, 1991–92,  Detroit Red Wings, 1997–98, {4}
Murphy, Ron, Chicago Blackhawks, 1961,  Boston Bruins, 1970, {2}
Murray, Matt, Pittsburgh Penguins, 2016, {1}
Murray, Troy, Colorado Avalanche, 1996, {1}
Murzyn, Dana, Calgary Flames, 1989, {1}
Mussen, Auberdy, Montreal AAA, 1894, {1}
Mussen, Clarence, Montreal AAA, 1894, {1}
Muzzin, Jake, Los Angeles Kings, 2014, {1}
Myre, Phil, Montreal Canadiens, 1971, {1}
Napier, Mark, Montreal Canadiens, 1979,  Edmonton Oilers, 1985, {2}
Naslund, Mats, Montreal Canadiens, 1986, {1}
Nattress, Rick, Calgary Flames, 1989, {1}
Needham, Mike, Pittsburgh Penguins, 1992, {1}
Neckar, Stanislav, Tampa Bay Lightning, 2004, {1}
Nemchinov, Sergei, New York Rangers, 1994,  New Jersey Devils, 2000, {2}
Nesterenko, Eric, Chicago Blackhawks, 1961, {1}
Nevin, Bob, Toronto Maple Leafs, 1962–63, {2}
Nicholson, Billy, Montreal AAA, 1902–03, {2}
Niedermayer, Rob Jr., Anaheim Ducks, 2007, {1}
Niedermayer, Scott, New Jersey Devils, 1995-2000-03,  Anaheim Ducks, 2007, {4}
Niemi, Antti, Chicago Blackhawks, 2010, {1}
Nieminen, Ville, Colorado Avalanche, 2001, {1}
Nieuwendyk, Joe, Calgary Flames, 1989,  Dallas Stars, 1999,  New Jersey Devils, 2003, {3}
Nighbor, Frank, Vancouver Millionaires, 1915,  Ottawa Senators, 1920-21-23-27, {5}
Nilan, Chris, Montreal Canadiens, 1986, {1}
Nilsson, Kent, Edmonton Oilers, 1987, {1}
Noble, Reg, Toronto Maple Leafs, 1918–22,  Montreal Maroons, 1926, {3}
Nordstrom, Joakim, Chicago Blackhawks, 2015, {1}
Nolan, Jordan, Los Angeles Kings, 2012-14, {2}
Nolan, Pat, Toronto Maple Leafs, 1922, {1}
Nolet, Simon, Philadelphia Flyers, 1974, {1}
Noonan, Brian, New York Rangers, 1994, {1}
Northcott, Lawrence, Montreal Maroons, 1935, {1}
Nystrom, Bob, New York Islanders, 1980-81-82-83, {4}
Nyrop, Bill, Montreal Canadiens, 1976-77-78, {3}
Oatman, Eddie, Quebec Bulldogs, 1912, {1}
O'Brien, Eddie, Montreal AAA, 1894, {1}
O'Connor, Herbert “Buddy”, Montreal Canadiens, 1944–46, {2}
Odelein, Lyle, Montreal Canadiens, 1993, {1}
O'Donnell, Sean, Anaheim Ducks, 2007, {1}
Oduya, Johnny, Chicago Blackhawks, 2013-15, {2}
Olausson, Fredrik, Detroit Red Wings, 2002, {1}
Olczyk, Eddie, New York Rangers, 1994, {1}
Oliver, Harold, Boston Bruins, 1929, {1}
Oliwa, Krzysztof, New Jersey Devils, 2000, {1}
